PRICE/TIER DIFFERENCES (matched products, drs NOT overwritten)
======================================================================
$  XEOMIN® 100u  | peak $409 vs drs $349 ("XEOMIN® 100U")
$  TB-500 10mg  | peak $106 vs drs $163 ("TB-500")
$  RESTYLANE® KYSSE with Lidocaine  | peak $189 vs drs $179 ("RESTYLANE® KYSSE™")
$  PROLIA® (Non-English)  | peak $549 vs drs $499 ("PROLIA® Non-English")
~  ORENCIA® (Non-English)  | tiers peak:4 vs drs:4
~  EYLEA® (Non-English)  | tiers peak:4 vs drs:4
~  HIDRAVEN FOAMY SOAP FREE CR  | tiers peak:4 vs drs:4
~  ARGIPEEL EXFOLIATING GEL  | tiers peak:4 vs drs:4
~  AZELAC M 60ml  | tiers peak:4 vs drs:4
~  AZELAC RU 60ml  | tiers peak:4 vs drs:4
~  AZELAC RU LIPOSOMAL SERUM  | tiers peak:4 vs drs:0
~  AZELAC RU LUMINOUS FLUID CREAM SPF50  | tiers peak:4 vs drs:0
~  MELA 360 SPOT CORRECTOR SERUM 30ml  | tiers peak:4 vs drs:4
~  LUMIGAN® (1x3ml)  | tiers peak:4 vs drs:4
~  XEOMIN® 50u (English Alternative)  | tiers peak:4 vs drs:4
~  XEOMIN® 100u  | tiers peak:4 vs drs:4
~  NABOTA® (JEUVEAU®) 100u  | tiers peak:4 vs drs:4
~  NABOTA® (JEUVEAU®) 200u  | tiers peak:4 vs drs:4
~  DYSPORT® 500u (Non-English)  | tiers peak:4 vs drs:4
~  DYSPORT® 300u  | tiers peak:4 vs drs:4
~  BOTULAX® 200u (Korean)  | tiers peak:4 vs drs:4
~  ALIAXIN® EV  | tiers peak:4 vs drs:4
~  BOTOX® 50u  | tiers peak:4 vs drs:4
~  BOTOX® 100u (Non-English)  | tiers peak:4 vs drs:4
~  BOTOX® 100u (English/Korean)  | tiers peak:4 vs drs:4
~  BOCOUTURE® 50u (XEOMIN®)  | tiers peak:4 vs drs:4
~  BOCOUTURE® 100u (XEOMIN®)  | tiers peak:4 vs drs:4
~  AZZALURE® 2 vials  | tiers peak:4 vs drs:4
~  AZZALURE®  | tiers peak:4 vs drs:4
~  RADIESSE® (+) 1.5ml with Lidocaine  | tiers peak:4 vs drs:4
~  RADIESSE® 1.5ml  | tiers peak:4 vs drs:4
~  CIMZIA® (Non-English)  | tiers peak:4 vs drs:4
~  SMB® TCu 380A with Safeload  | tiers peak:4 vs drs:4
~  T-SAFE® CU 380A QL IUD  | tiers peak:4 vs drs:4
~  ALIAXIN® FL  | tiers peak:4 vs drs:4
~  ALIAXIN® GP  | tiers peak:4 vs drs:4
~  ALIAXIN® LV  | tiers peak:4 vs drs:4
~  ALIAXIN® SV  | tiers peak:4 vs drs:4
~  PERFECTHA® DEEP  | tiers peak:4 vs drs:4
~  PERFECTHA® DERM  | tiers peak:4 vs drs:4
~  PERFECTHA® FINELINES  | tiers peak:4 vs drs:4
~  PERFECTHA® SUBSKIN  | tiers peak:4 vs drs:4
~  STYLAGE® XXL BI-SOFT®  | tiers peak:4 vs drs:4
~  BELLAST® L  | tiers peak:4 vs drs:4
~  STYLAGE® HYDRO BI-SOFT®  | tiers peak:4 vs drs:4
~  STYLAGE® HYDROMAX BI-SOFT®  | tiers peak:4 vs drs:4
~  STYLAGE® L BI-SOFT®  | tiers peak:4 vs drs:4
~  STYLAGE® M BI-SOFT®  | tiers peak:4 vs drs:4
~  STYLAGE® XL BI-SOFT®  | tiers peak:4 vs drs:4
~  STYLAGE® XL BI-SOFT® with Lidocaine  | tiers peak:4 vs drs:4
~  BELLAST® PLUS  | tiers peak:4 vs drs:4
~  BELLAST® SOFT L  | tiers peak:4 vs drs:4
~  INTRALINE® M2 PLUS  | tiers peak:4 vs drs:4
~  INTRALINE® M3 PLUS  | tiers peak:4 vs drs:4
~  INTRALINE® M4 PLUS  | tiers peak:4 vs drs:4
~  PERFECTHA® DEEP Lidocaine  | tiers peak:4 vs drs:4
~  PERFECTHA® DERM Lidocaine  | tiers peak:4 vs drs:4
~  STYLAGE® L BI-SOFT® with Lidocaine  | tiers peak:4 vs drs:4
~  STYLAGE® M BI-SOFT® with Lidocaine  | tiers peak:4 vs drs:4
~  STYLAGE® S BI-SOFT® with Lidocaine  | tiers peak:4 vs drs:4
~  STYLAGE® SPECIAL LIPS BI-SOFT® with Lidocaine  | tiers peak:4 vs drs:4
~  STYLAGE® SPECIAL LIPS BI-SOFT®  | tiers peak:4 vs drs:4
~  STYLAGE® S BI-SOFT®  | tiers peak:4 vs drs:4
~  AQUALYX®  | tiers peak:4 vs drs:4
~  BCN ADIPO FORTE  | tiers peak:4 vs drs:4
~  NEXPLANON® (Non-English)  | tiers peak:4 vs drs:4
~  VABYSMO® INJECTION 120MG  | tiers peak:4 vs drs:4
